class,feature,bin,x_median,x_min,x_max,shap_median,shap_mean,shap_q25,shap_q75,n
OPB,SR(PPM),1,93.0,0.524,108.0,0.29431062936782837,0.25417613983154297,0.12015849351882935,0.45164984464645386,552
OPB,SR(PPM),2,124.0,108.041932173652,138.0,0.47365328669548035,0.4785574972629547,0.33617672324180603,0.6029460430145264,553
OPB,SR(PPM),3,150.0,138.047748261904,163.4,-0.1020381823182106,-0.06266296654939651,-0.18554937839508057,0.048906393349170685,544
OPB,SR(PPM),4,175.0,163.5,185.0,-0.21999506652355194,-0.21137836575508118,-0.26554161310195923,-0.16978220641613007,567
OPB,SR(PPM),5,196.0,185.13351,206.6,-0.2385738492012024,-0.22910618782043457,-0.2811228334903717,-0.18931829929351807,532
OPB,SR(PPM),6,221.0,206.72,235.0,-0.06378914415836334,-0.05886541306972504,-0.13884645700454712,0.013157397508621216,559
OPB,SR(PPM),7,247.0,235.255,260.0,0.11404658108949661,0.09529518336057663,0.009010626934468746,0.20098161697387695,541
OPB,SR(PPM),8,274.1,260.172296,289.0,-0.10461574792861938,-0.1025310605764389,-0.24014174938201904,0.03763176500797272,562
OPB,SR(PPM),9,304.0,290.0,313.0,-0.2121061384677887,-0.23742739856243134,-0.3120323419570923,-0.1505376249551773,536
OPB,SR(PPM),10,324.0,313.046309395204,337.56,-0.23674777150154114,-0.27579057216644287,-0.375169575214386,-0.15640592575073242,549
OPB,SR(PPM),11,356.0,337.638,379.0,-0.33800774812698364,-0.3274979591369629,-0.4060268998146057,-0.23456892371177673,551
OPB,SR(PPM),12,403.0,379.9,436.0,-0.3666576147079468,-0.3849128186702728,-0.46611303091049194,-0.306260883808136,554
OPB,SR(PPM),13,479.0,436.34,522.0,-0.43246990442276,-0.4147927165031433,-0.523913562297821,-0.30987298488616943,544
OPB,SR(PPM),14,589.711980702667,522.03,674.0,-0.5559781789779663,-0.5158258676528931,-0.6234943866729736,-0.4332316517829895,549
OPB,SR(PPM),15,827.95,675.0,6404.0,-0.5997735857963562,-0.5925031900405884,-0.6888318061828613,-0.4888307750225067,550
CFB,FE_TOTAL(WT%),1,8.0698,0.746834,8.619340000000001,-1.268725037574768,-1.246065378189087,-1.4793126583099365,-1.0129936933517456,672
