class,feature,mean_abs_shap,spearman_rho,spearman_p,q25,q75,low_q_mean_shap,high_q_mean_shap,delta_high_minus_low,direction,n_measured,n_missing,missing_rate,missing_mean_shap,class_rank
BABB,RB(PPM),0.2756164,-0.8485366885345867,0.0,5.25,28.0,0.11245791,-0.49251857,-0.6049765,LOWER_VALUE_MORE_POSITIVE,7908,2178,0.21594289113622844,-0.3382115960121155,14
BABB,CR(PPM),0.18859035,-0.7185648690203159,0.0,75.0,303.43,0.039046712,-0.34519976,-0.38424647,LOWER_VALUE_MORE_POSITIVE,7222,2864,0.2839579615308348,0.00947992317378521,15
BABB,NI(PPM),0.17945209,-0.43039386582884165,0.0,44.0,124.1,0.1729151,-0.052330848,-0.22524595,LOWER_VALUE_MORE_POSITIVE,7668,2418,0.23973825104104698,-0.26833367347717285,16
BABB,MNO(WT%),0.15888108,0.8377146180556121,0.0,0.16796267926630276,0.2,-0.2952768,0.09729762,0.3925744,HIGHER_VALUE_MORE_POSITIVE,9982,104,0.010311322625421376,0.39187195897102356,17
BABB,V(PPM),0.105137736,0.19556694293598875,5.62107755274798e-61,250.0,353.0,-0.090105794,-0.025925929,0.06417987,HIGHER_VALUE_MORE_POSITIVE,6962,3124,0.30973626809438826,-0.015634573996067047,18
BABB,Y(PPM),0.084180824,0.8179448808842825,0.0,23.4,36.0,-0.18541452,0.058727745,0.24414226,HIGHER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,-0.03548760339617729,19
CAB,TIO2(WT%),1.2286314,-0.950225790187192,0.0,1.31,2.7279225,0.40502748,-2.4796917,-2.8847191,LOWER_VALUE_MORE_POSITIVE,10078,8,0.000793178663493952,-1.8468680381774902,1
CAB,SR(PPM),0.9682082,0.8996137837635184,0.0,179.95630649999998,390.0,-1.7050405,0.49578893,2.2008295,HIGHER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.4180821478366852,2
CAB,NA2O(WT%),0.92270035,0.7595932853250168,0.0,2.23,3.0,-1.205142,0.27005845,1.4752004,HIGHER_VALUE_MORE_POSITIVE,10069,17,0.0016855046599246481,-1.3579185009002686,3
CAB,AL2O3(WT%),0.6755784,0.41457408246839605,0.0,13.45,15.34,-0.73831767,-0.2670543,0.47126338,HIGHER_VALUE_MORE_POSITIVE,10079,7,0.000694031330557208,-0.9543347358703613,4
CAB,Y(PPM),0.5421437,-0.7435282188380066,0.0,23.4,36.0,0.15242456,-0.7404157,-0.89284027,LOWER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,-0.2595211863517761,5
CAB,P2O5(WT%),0.4410771,0.9053463348004723,0.0,0.15,0.41,-0.8769697,0.18425117,1.0612209,HIGHER_VALUE_MORE_POSITIVE,9929,157,0.015566131271068808,-0.40816637873649597,6
CAB,RB(PPM),0.40584016,0.6878214389238311,0.0,5.25,28.0,-1.0693387,-0.17367053,0.89566815,HIGHER_VALUE_MORE_POSITIVE,7908,2178,0.21594289113622844,-0.02696932852268219,7
CAB,K2O(WT%),0.4003062,0.8272372615963373,0.0,0.31,1.11575,-1.0536999,0.038211636,1.0919114,HIGHER_VALUE_MORE_POSITIVE,10050,36,0.003569303985722784,-1.4226233959197998,8
CAB,FE_TOTAL(WT%),0.39995483,-0.6235788147792576,0.0,10.10946,12.50722,-0.053237498,-0.61681914,-0.56358165,LOWER_VALUE_MORE_POSITIVE,10077,9,0.000892325996430696,-1.3957645893096924,9
CAB,MNO(WT%),0.3768511,-0.7691616020208716,0.0,0.16796267926630276,0.2,0.025329102,-0.6819199,-0.707249,LOWER_VALUE_MORE_POSITIVE,9982,104,0.010311322625421376,-1.708184003829956,10
CAB,NB(PPM),0.34231612,-0.8451939400486662,0.0,6.0,21.81,0.34365803,-0.69905233,-1.0427103,LOWER_VALUE_MORE_POSITIVE,7452,2634,0.2611540749553837,-0.2056281417608261,11
CAB,BA(PPM),0.3317738,0.659024400166413,0.0,81.0,394.0,-0.19586344,0.18650004,0.3823635,HIGHER_VALUE_MORE_POSITIVE,7825,2261,0.2241721197699782,-0.7796794176101685,12
CAB,SIO2(WT%),0.25494653,-0.6532129142629952,0.0,48.14,51.56,0.10501902,-0.52985305,-0.6348721,LOWER_VALUE_MORE_POSITIVE,10086,0,0.0,,13
