class,feature,all_mean_abs_shap,all_measured_mean_abs_shap,trueclass_mean_abs_shap,trueclass_mean_signed_shap,trueclass_measured_mean_abs_shap,trueclass_measured_mean_signed_shap,trueclass_n,trueclass_measured_n,trueclass_missing_rate,rank_all,rank_all_measured,rank_trueclass,rank_trueclass_measured,rank_shift_missingness,rank_shift_trueclass
IOAB,SIO2(WT%),0.2624228,0.2624228,0.18517591,-0.107451245,0.18517591,-0.107451245,125,125,0.0,15,16,17,17,1,2
IOAB,TIO2(WT%),2.5400705,2.5397105,1.3814526,0.85601664,1.3814526,0.85601664,125,125,0.0,1,1,1,2,0,1
IOAB,AL2O3(WT%),0.6261454,0.625946,0.3869537,-0.08433289,0.3869537,-0.08433289,125,125,0.0,4,3,9,9,-1,5
IOAB,FE_TOTAL(WT%),0.48548013,0.485121,0.6517677,0.016093448,0.6517677,0.016093448,125,125,0.0,7,7,4,6,0,-1
IOAB,CAO(WT%),0.334715,0.3345316,0.56471395,0.28725898,0.56471395,0.28725898,125,125,0.0,9,10,6,7,1,-2
IOAB,MGO(WT%),0.5577485,0.5573723,0.52895725,0.06839336,0.52895725,0.06839336,125,125,0.0,5,5,7,8,0,3
IOAB,MNO(WT%),0.53317374,0.5223653,0.6630985,0.17116606,0.6630985,0.17116606,125,125,0.0,6,6,3,5,0,-1
IOAB,K2O(WT%),0.27538887,0.2714375,0.21086422,0.0132040065,0.21086422,0.0132040065,125,125,0.0,14,14,16,16,0,2
IOAB,NA2O(WT%),0.29370713,0.2929377,0.28252137,0.15040968,0.28252137,0.15040968,125,125,0.0,11,12,12,13,1,2
IOAB,P2O5(WT%),0.6274147,0.6159776,0.26116446,-0.054051664,0.26116446,-0.054051664,125,125,0.0,3,4,13,14,1,11
IOAB,V(PPM),0.30067313,0.3752147,0.47440004,0.21844909,0.6702889,0.35884348,125,81,0.352,10,8,8,4,-2,-6
IOAB,CR(PPM),0.21711119,0.21266846,0.31431323,0.052366626,0.35878885,0.18044624,125,85,0.31999999999999995,17,17,10,11,0,-6
IOAB,NI(PPM),0.2559804,0.26701495,0.31383884,0.08863553,0.37641612,0.17042403,125,92,0.264,16,15,11,10,-1,-6
IOAB,RB(PPM),0.27929947,0.28317332,0.25075808,-0.18910791,0.21286033,-0.11277891,125,77,0.384,13,13,14,15,0,2
IOAB,SR(PPM),0.17541753,0.18387595,0.147031,-0.13893877,0.17745233,-0.16608687,125,89,0.28800000000000003,18,18,18,18,0,0
IOAB,Y(PPM),0.07191355,0.06358323,0.048977222,-0.00812183,0.04878594,0.008595232,125,89,0.28800000000000003,19,19,19,19,0,0
IOAB,ZR(PPM),0.28845057,0.33568966,0.21991709,0.1628827,0.29813144,0.22515585,125,89,0.28800000000000003,12,9,15,12,-3,0
IOAB,NB(PPM),1.9268475,2.4814422,1.1264813,0.1188761,1.4146862,-0.24255903,125,76,0.392,2,2,2,1,0,-1
IOAB,BA(PPM),0.36872965,0.31422326,0.58527225,0.35944617,0.6774018,0.6494499,125,89,0.28800000000000003,8,11,5,3,3,-5
BABB,SIO2(WT%),0.8064907,0.8064907,0.6045786,-0.0837265,0.6045786,-0.0837265,113,113,0.0,2,3,2,3,1,1
BABB,TIO2(WT%),0.9684444,0.96729666,0.21809013,-0.00430164,0.21809013,-0.00430164,113,113,0.0,1,1,13,11,0,10
BABB,AL2O3(WT%),0.54681176,0.54592663,0.44105506,0.05469995,0.44105506,0.05469995,113,113,0.0,6,7,6,6,1,0
BABB,FE_TOTAL(WT%),0.610713,0.6100503,0.4463036,0.16189246,0.4463036,0.16189246,113,113,0.0,5,6,5,5,1,0
BABB,CAO(WT%),0.46466878,0.46357664,0.42336175,0.0963436,0.42336175,0.0963436,113,113,0.0,8,8,7,7,0,-1
BABB,MGO(WT%),0.40762305,0.4066194,0.401445,-0.1553146,0.401445,-0.1553146,113,113,0.0,10,11,8,8,1,-2
BABB,MNO(WT%),0.15888108,0.15644515,0.26853314,0.11752887,0.14641002,-0.07699857,113,76,0.327433628318584,17,16,11,17,-1,0
BABB,K2O(WT%),0.72019804,0.7176442,0.35188526,0.026542507,0.35188526,0.026542507,113,113,0.0,3,4,9,9,1,6
BABB,NA2O(WT%),0.37516326,0.37193105,0.5447592,0.18837883,0.5447592,0.18837883,113,113,0.0,12,13,3,4,1,-8
BABB,P2O5(WT%),0.4327235,0.4149957,0.26658818,-0.05221972,0.2005126,0.02172258,113,109,0.03539823008849563,9,10,12,13,1,4
BABB,V(PPM),0.105137736,0.13692223,0.11169244,-0.06627716,0.18116772,-0.17287897,113,55,0.5132743362831859,18,18,18,14,0,-4
BABB,CR(PPM),0.18859035,0.24907492,0.1349792,-0.06966782,0.17965476,-0.1597611,113,67,0.4070796460176991,15,15,16,15,0,0
BABB,NI(PPM),0.17945209,0.15142453,0.16156884,-0.091447525,0.13679533,-0.047764897,113,89,0.21238938053097345,16,17,15,18,1,2
BABB,RB(PPM),0.2756164,0.25837663,0.33320394,-0.039870895,0.2405844,0.21978551,113,72,0.36283185840707965,14,14,10,10,0,-4
BABB,SR(PPM),0.39777035,0.44957644,0.20634227,0.0023234803,0.21100497,0.009361641,113,107,0.053097345132743334,11,9,14,12,-2,1
BABB,Y(PPM),0.084180824,0.09627694,0.07477568,-0.046875767,0.110818796,-0.08102261,113,61,0.4601769911504425,19,19,19,19,0,0
BABB,ZR(PPM),0.32429335,0.39424613,0.11176101,-0.05265906,0.14794648,-0.10938868,113,70,0.38053097345132747,13,12,17,16,-1,3
BABB,NB(PPM),0.52820057,0.6868653,0.52215344,0.47240853,1.3172475,1.2742106,113,42,0.6283185840707964,7,5,4,1,-2,-6
BABB,BA(PPM),0.69345737,0.85444105,0.63181645,0.1541646,0.8990737,0.3385679,113,71,0.37168141592920356,4,2,1,2,-2,-2
MORB,SIO2(WT%),0.23922846,0.23922846,0.25439054,0.109149344,0.25439054,0.109149344,908,908,0.0,10,10,10,11,0,1
MORB,TIO2(WT%),0.39452344,0.39371938,0.38678914,0.095851526,0.37942538,0.08655247,908,902,0.0066079295154185536,8,8,5,6,0,-2
MORB,AL2O3(WT%),0.122758076,0.122459345,0.11115339,0.013090106,0.109215476,0.010718282,908,904,0.004405286343612369,18,18,17,17,0,-1
MORB,FE_TOTAL(WT%),0.465349,0.46486682,0.43366495,0.19191201,0.4300013,0.18664028,908,902,0.0066079295154185536,3,4,4,4,1,1
MORB,CAO(WT%),0.4178465,0.41736913,0.35245094,0.231435,0.3466845,0.22404777,908,896,0.013215859030836996,6,6,7,7,0,1
