PAPER_ID,DATABASE,CV_GROUP_V4,PAPER_DOI,CITATION,PAPER_FIRST_AUTHOR,PAPER_YEAR,N_SAMPLES
PAPER|MERGED|18362b995fd99ed2,GEOROC; PetDB,PAPER|MERGED|18362b995fd99ed2,,"Madureira, P., Moreira, M., ... Pinto De Abreu, M. (2014). HELIUM ISOTOPE SYSTEMATICS IN THE VINCINITY OF THE AZORES TRIPLE JUNCTION: CONTRAINTS ON THE AZORES GEODYNAMICS. CHEMICAL GEOLOGY, 372, 62-71.; [18375] MADUREIRA P. (2014)",MADUREIRA,2014,41
PAPER|GEOROC|CITATION_ID|18536,GEOROC,PAPER|GEOROC|CITATION_ID|18536,,[18536] MÄKITIE H. (2014),MAKITIE,2014,7
PAPER|GEOROC|CITATION_ID|18035,GEOROC,PAPER|GEOROC|CITATION_ID|18035,,[18035] MARCHETTI D. W. (2014),MARCHETTI,2014,6
PAPER|GEOROC|CITATION_ID|18210,GEOROC,PAPER|GEOROC|CITATION_ID|18210,,[18210] MELLUSO L. (2014),MELLUSO,2014,6
PAPER|GEOROC|CITATION_ID|18071,GEOROC,PAPER|GEOROC|CITATION_ID|18071,,[18071] MERLE R. E. (2014),MERLE,2014,113
PAPER|GEOROC|CITATION_ID|18088,GEOROC,PAPER|GEOROC|CITATION_ID|18088,,[18088] METRICH N.(2014)  [GeoReM [7891] ],METRICH,2014,24
PAPER|GEOROC|CITATION_ID|19079,GEOROC,PAPER|GEOROC|CITATION_ID|19079,,[19079] OSKARSSON B. V. (2014),OSKARSSON,2014,11
PAPER|GEOROC|CITATION_ID|18960,GEOROC,PAPER|GEOROC|CITATION_ID|18960,,[18960] PELLETER A.-A.(2014)  [GeoReM [8381] ],PELLETER,2014,5
PAPER|GEOROC|CITATION_ID|18405,GEOROC,PAPER|GEOROC|CITATION_ID|18405,,[18405] PENG Z. X. (2014),PENG,2014,48
PAPER|GEOROC|CITATION_ID|18576,GEOROC,PAPER|GEOROC|CITATION_ID|18576,,[18576] POLLOCK M.(2014)  [GeoReM [8365] ],POLLOCK,2014,47
PAPER|PETDB|CITATION_SHA1|ac51fa95850e772d,PetDB,PAPER|PETDB|CITATION_SHA1|ac51fa95850e772d,,"Prytulak, J., Avanzinelli, R., ... Elliott, T. (2014). MELTING VERSUS CONTAMINATION EFFECTS ON 238U_230TH-226RA AND 235U_231PA DISEQUILIBRIA IN LAVAS FROM SAO MIGUEL, AZORES. CHEMICAL GEOLOGY, 381, 94-109.",PRYTULAK,2014,9
PAPER|GEOROC|CITATION_ID|18500,GEOROC,PAPER|GEOROC|CITATION_ID|18500,,[18500] SAKUYAMA T. (2014),SAKUYAMA,2014,4
PAPER|GEOROC|CITATION_ID|19017,GEOROC,PAPER|GEOROC|CITATION_ID|19017,,[19017] SAMBUU O. (2014),SAMBUU,2014,19
PAPER|GEOROC|CITATION_ID|18757,GEOROC,PAPER|GEOROC|CITATION_ID|18757,,[18757] SATO M.(2014)  [GeoReM [8413] ],SATO,2014,10
PAPER|GEOROC|CITATION_ID|18493,GEOROC,PAPER|GEOROC|CITATION_ID|18493,,[18493] SCHINDLBECK-BELO J. C. (2014),SCHINDLBECKBELO,2014,4
