accuracy,balanced_accuracy,macro_f1,weighted_f1
0.8665670526709003,0.7555604032016034,0.710402524880395,0.8728783812770446
0.8502746159356841,0.716255571524921,0.6929737042948502,0.8529518656326117
0.8754258284298544,0.7257908781948776,0.6839558212873733,0.8796652884571591
0.840945933059979,0.7317972751356645,0.6931577295802825,0.8469739277754276
0.8137412775093934,0.7055406777182187,0.6937694462865586,0.8126114499530978
0.8260834345889024,0.7038453783342162,0.7135124648081664,0.8230983075917445
0.8376823676531888,0.7349808303860177,0.6983030094149834,0.8366788995667712
0.8108837209302325,0.7282080216635305,0.7140009688046725,0.8108533333106381
0.8412080785621642,0.6970185817343633,0.6873641914396778,0.8436525206347972
0.8389038492000633,0.6843747409956964,0.6556376139286727,0.8474258456294425
0.8474449832152182,0.7384852503473179,0.7282986586308096,0.8474018721442903
0.8454250810271753,0.7002451047445628,0.6847592676832328,0.8468766563053692
0.8262877939529675,0.6931938205630132,0.6484693625565203,0.8221077637423871
0.8412134462968024,0.7306029685553028,0.7190995329602572,0.8403372033149379
0.8560496556415271,0.7154300244782804,0.6548343235292119,0.8621165912431404
0.8210805265857412,0.7043047859916105,0.7031973415306334,0.8196504728825669
0.8439813011297234,0.7141044051339376,0.6890090107041299,0.8480176413798551
0.8274047032855081,0.6982361247012407,0.6578051609511483,0.8391806302193706
0.8247104247104247,0.7398086406245508,0.6986280063247456,0.8271383681067381
0.8362502996883241,0.6905165774210918,0.6926866499372564,0.8371076033398922
0.8544453186467349,0.7477126353578104,0.7097769394920259,0.8567604988024874
0.8609582389122693,0.7411227735727812,0.734590973140312,0.8608558651016475
0.8334520206515934,0.6708725463926009,0.6434983915975967,0.8371148560453404
0.8172346955257632,0.663755844766458,0.6453259955554791,0.814192556130615
0.8336645139923828,0.6807593688371611,0.6893359987951861,0.833849075180106
0.8453047775947282,0.7123440719357406,0.6881857621996423,0.8486870275855599
0.8413028990336554,0.69219438364017,0.6587433244525686,0.846559703230302
0.8405351376287867,0.7199417633189337,0.7101358471937873,0.8403903223285717
0.8652207591014718,0.7757424072823245,0.7099597757427908,0.870452441954516
0.8463675393551646,0.7782728089192191,0.6895723591321475,0.8520500010285041
0.8172050869755884,0.7089434667983487,0.6965353370987548,0.8202089397396577
0.8340376170353799,0.7294540731941381,0.7091942418341898,0.837724761446103
0.8311844077961019,0.7113648031268349,0.6879400465309815,0.8372605127766274
0.8440511797939515,0.6563602182411168,0.6564511606871953,0.844840895535255
0.8132035548032163,0.6522600250797923,0.6449486209499945,0.8124662735188914
0.8448607108549472,0.7102115783417151,0.709951405985005,0.84350071257059
0.8379952267303102,0.7215655152542442,0.7000534040117922,0.8401677082693911
0.8582670356278105,0.7397173914460221,0.7072881418093139,0.8612616661145974
0.8092000706339396,0.742580497101796,0.7129356327745482,0.8093323909372626
0.840481219579392,0.736994405472029,0.6858505423833857,0.8455752723467065
0.8041128394410757,0.6978407161130207,0.6826364465024548,0.8026386217045461
0.8333611342785655,0.6936039218325569,0.6989671434872723,0.8342975902087028
0.8202348014656398,0.6944064568098622,0.6908112514319782,0.8220281427913009
0.7940053138492196,0.6537623344058114,0.6479807001143292,0.79068151845932
0.8262288965581569,0.7150475131107807,0.6938070681553918,0.8290759765472667
0.8482691109726795,0.7373129511964427,0.7129505414790697,0.8526949511162705
0.8296471382745231,0.6944654310202842,0.6798552241658626,0.8347902022386146
0.7961254612546126,0.6824968349377722,0.6702645281738362,0.7880645861914695
0.8067558464055432,0.6882884310908952,0.6711006551882674,0.8043768575775708
0.8261196524064172,0.7257442716778306,0.6955771781266548,0.8267350118060667
0.8159422563941628,0.677737851075561,0.6299743028287915,0.8210560439743639
0.8098723265837197,0.7029832579949279,0.7059949463424859,0.8030694258162612
0.8391807134457075,0.7091376205981278,0.6858299784847441,0.8438012093176676
0.8460930085416007,0.6934764155231411,0.6548658121813822,0.8503310751814878
0.823026154974334,0.6913005885301122,0.6758945898614868,0.819212916269811
0.8352799406748239,0.725123457382752,0.688063659743742,0.8381217125207783
0.801712712814762,0.7236669145400598,0.7016201554786473,0.8040086237165913
0.8034527476090128,0.7230448771107547,0.6500826092010894,0.8019894666408895
0.8420777409796061,0.669214899199483,0.6405667412595263,0.8477707679168413
0.8161579267762414,0.744034279615149,0.6873811965150051,0.8178141633000235
0.821768140116764,0.7111108394438634,0.6750538255726212,0.8242875089527799
0.805276886035313,0.670639065346665,0.6152892908235852,0.8175632298885979
0.8582364411063769,0.6988327577485287,0.6648704604371102,0.8651949337811169
0.8106810104696955,0.7104635975573483,0.6803558143491379,0.8138000564383151
0.8259917681057886,0.6772842639739942,0.6592822660618484,0.829611564046194
0.8387167816766995,0.7667308081016045,0.7464050639407511,0.8366846536351532
0.8445336830027864,0.7032826992303559,0.699715889557018,0.8449090342738407
0.8242552781259038,0.7169115092060403,0.6650340080734984,0.8296490297551596
0.8245385045683387,0.7054725412646661,0.7060319516168642,0.8201860986948856
0.8462860267124893,0.7268541279924419,0.69035082487384,0.8496014283025402
0.8614270941054809,0.6730676138195819,0.6461795211564942,0.8643364034874227
0.8145122993636623,0.6340462098063595,0.6333131892445953,0.810545689186927
0.8188394523957685,0.7126827173126489,0.706054121899063,0.8159673411664434
0.7935150694209279,0.6683765631327886,0.6481608267246095,0.7929218203632481
0.8558484349258649,0.7211655521222935,0.7289503816921953,0.8526733568940464
0.8428951204870937,0.7228500011443196,0.7020506218781448,0.8448529064367679
0.8297815186246418,0.7043800930813959,0.6865305596282929,0.8307746599697484
0.849174777824799,0.731746611665084,0.6973345257520522,0.8516119752253413
0.8233031287399556,0.6952148321211091,0.7083822343326645,0.8219251415967757
0.8375971195755164,0.6893863216018513,0.6672975862749482,0.8416409089597967
0.8576246093107419,0.6784782271732075,0.6598836422207763,0.8615035228067521
0.8506000960153625,0.7420454825049394,0.7036125634788428,0.8533169799708714
0.8319874558996472,0.6985379692430451,0.6905237823828076,0.8325017335381679
0.834409515717927,0.7201185555354006,0.69489151959924,0.8317454516396532
0.8484578223708659,0.6835804072786935,0.6618565177948954,0.8513357941295013
0.8735523516899079,0.7681432885021686,0.7209201263100008,0.8775123174025675
0.8432272876352903,0.7109896387397039,0.6733731715548582,0.8447251329649779
0.7994844555538198,0.7281545437463167,0.7196077410680235,0.7970559049061717
0.8442807080600233,0.7545628358159013,0.7300020730379562,0.8453486240513377
0.8327315475690654,0.6729952732505582,0.6732952881559053,0.828725549817793
0.8531549644293226,0.7079955849149226,0.7142904929914987,0.8488974904955859
0.8266902119071645,0.6992825536485014,0.6523703563209001,0.8283219448362907
0.8263321828436737,0.6824322967247434,0.6798079388723702,0.8234140887420103
0.8225145362691831,0.7094775987099993,0.6974258881417398,0.8228500515083781
0.8358466569767442,0.6975572860443571,0.6957481931581224,0.8348165388402179
0.8489740494870247,0.7280939214324489,0.6968173064244273,0.8505064560120094
0.8287850755473327,0.720029263411685,0.6752603155105918,0.8248442293645556
0.8434145258014363,0.7054451611081336,0.6893729107571092,0.8471440161528813
0.7974346160253206,0.6681791508301609,0.6613716180961523,0.797251557041389
0.8113829173873651,0.6627160521672248,0.6591167314827205,0.8067320654223841
0.8040945993646311,0.6742585942753392,0.6658960146483592,0.8072751511399815
